historical_match_id,role_id,consultant_id,match_score_assigned_by_human,was_shortlisted,was_selected,client_feedback_score,placement_success,reason_selected_or_rejected,skill_gap_notes,outcome_notes
HM-001,R-001,C-007,8.1,Yes,Yes,3.2,Partial,"Selected - Covers 4/5 required skills (requirements elicitation, process mapping, user story writing, sql); 13 yrs meets the 7-yr bar",missing required: Stakeholder Management; no Banking/FinTech domain background,Mixed placement: client feedback 3.2/5; delivery acceptable with coaching.
HM-002,R-001,C-003,6.7,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Requirements Elicitation, Stakeholder Management; no Banking/FinTech domain background; communication score 2.5/5 vs high client emphasis",
HM-003,R-001,C-061,6.6,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Requirements Elicitation, User Story Writing, SQL, Stakeholder Management; missing preferred: BPMN, Gap Analysis",
HM-004,R-001,C-005,5.8,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Process Mapping, User Story Writing, Stakeholder Management; missing preferred: BPMN, Gap Analysis; 2 yrs vs 7 required; communication score 2.9/5 vs high client emphasis",
HM-005,R-001,C-002,5.6,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Process Mapping, Stakeholder Management; missing preferred: Gap Analysis; 1 yrs vs 7 required",
HM-006,R-001,C-001,5.2,No,No,,,"Not shortlisted - missing required: Requirements Elicitation, Process Mapping, Stakeholder Management","missing required: Requirements Elicitation, Process Mapping, Stakeholder Management; missing preferred: Wireframing; no certifications on file (CBAP preferred); 2 yrs vs 7 required",
HM-007,R-001,C-006,5.2,No,No,,,Rejected - requires visa sponsorship; client cannot sponsor,"missing required: Requirements Elicitation; missing preferred: Gap Analysis, Wireframing; no certifications on file (CBAP preferred); no Banking/FinTech domain background",
HM-008,R-001,C-072,4.6,No,No,,,"Not shortlisted - missing required: Process Mapping, User Story Writing, Stakeholder Management","missing required: Process Mapping, User Story Writing, Stakeholder Management; no preferred-skill coverage; no Banking/FinTech domain background",
HM-009,R-001,C-004,3.8,No,No,,,"Not shortlisted - missing required: Process Mapping, User Story Writing","missing required: Process Mapping, User Story Writing; no preferred-skill coverage; no Banking/FinTech domain background",
HM-010,R-001,C-057,3.7,No,No,,,"Not shortlisted - missing required: Requirements Elicitation, Process Mapping, User Story Writing, SQL, Stakeholder Management","missing required: Requirements Elicitation, Process Mapping, User Story Writing, SQL, Stakeholder Management; missing preferred: BPMN, Wireframing; no Banking/FinTech domain background",
HM-011,R-002,C-014,8.0,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",no Insurance domain background,
HM-012,R-002,C-010,6.8,Yes,Yes,3.2,Partial,Selected - Client insisted on the candidate they had met at a prior engagement despite lower assessed fit.,missing required: Regression Testing; missing preferred: Test Data Management; no Insurance domain background,Placement struggled: client feedback 3.2/5; gaps surfaced in missing required: Regression Testing. Contract completed but not extended.
HM-013,R-002,C-011,5.2,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Test Planning, Test Case Design, Regression Testing, API Automation; no Insurance domain background",
HM-014,R-002,C-013,4.7,Yes,No,,,"Rejected - available 2026-09-04, after required start-by date 2026-08-31","missing required: Test Planning, Regression Testing; no certifications on file (ISTQB Foundation preferred); adjacent domain only (Public Sector/Healthcare)",
HM-015,R-002,C-015,4.7,Yes,No,,,"Rejected - available 2026-09-15, after required start-by date 2026-08-31",no Insurance domain background,
