file_name,column_name,data_type,description,example_value,intended_use
consultant_profiles_train.csv,consultant_id,string,Unique consultant identifier (C-###).,C-014,Primary key; join to historical_matches_train.consultant_id.
consultant_profiles_train.csv,first_name,string,Consultant first name (synthetic).,Maria,Display only. Must NOT influence ranking (fairness requirement).
consultant_profiles_train.csv,last_name,string,Consultant last name (synthetic).,Herrera,Display only. Must NOT influence ranking (fairness requirement).
consultant_profiles_train.csv,location_city,string,Home base city (US).,Charlotte,Logistics fit vs role location; never a proxy for anything else.
consultant_profiles_train.csv,location_state,string,Two-letter US state code.,NC,"Logistics fit (onsite/hybrid feasibility, metro matching)."
consultant_profiles_train.csv,work_authorization_status,string,US work-authorization category; notes if sponsorship is required.,US Citizen,Check against roles whose must_have_constraints forbid sponsorship.
consultant_profiles_train.csv,willing_to_relocate,string,Yes/No - open to relocating for an engagement.,No,Logistics fit when role is onsite/hybrid in another metro.
consultant_profiles_train.csv,remote_preference,string,Work-mode preference: Remote Only / Remote Preferred / Hybrid / Onsite OK / Flexible.,Hybrid,Match against remote_or_onsite; 'Remote Only' can violate onsite must-haves.
consultant_profiles_train.csv,years_experience,integer,Total years of relevant professional experience.,9,Compare to required_years_experience; some roles enforce a hard minimum.
consultant_profiles_train.csv,primary_role,string,Main role archetype (one of 10).,DevOps Engineer,Coarse filter for role matching.
consultant_profiles_train.csv,secondary_role,string,Secondary role capability.,Cloud Engineer,Adjacent-fit and versatility signal.
consultant_profiles_train.csv,technical_skills,string (pipe-separated),Core skills; multi-value with | separator.,CI/CD|Kubernetes|Infrastructure as Code,Match against required_skills / preferred_skills (case-insensitive; minor aliases exist).
consultant_profiles_train.csv,business_domain_experience,string (pipe-separated),Industries worked in.,Banking|FinTech,Match against required_domain_experience; adjacent domains partially count.
consultant_profiles_train.csv,certifications,string (pipe-separated),Professional certifications held. Blank = none.,Terraform Associate|CKA,Match against required/preferred certifications.
consultant_profiles_train.csv,education_level,string,Highest education level. Blank = not provided.,Bachelor's,Context only; not a hard requirement for any role.
consultant_profiles_train.csv,highest_degree_field,string,Field of study. Blank = not provided.,Computer Science,Context only.
consultant_profiles_train.csv,programming_languages,string (pipe-separated),Languages. Blank = none listed.,Python|Bash,Counts toward skill matching.
consultant_profiles_train.csv,cloud_platforms,string (pipe-separated),Cloud platforms used.,AWS|Azure,Counts toward skill/tool matching.
consultant_profiles_train.csv,data_tools,string (pipe-separated),Data/analytics tools.,Snowflake|Airflow,Counts toward skill/tool matching.
